domain	payload_grammar
OUTBE_OCOMP_PROTOCOL_BUNDLE_V1	canonical(ProtocolBundleV1)
OUTBE_OCOMP_PRE_ADMISSION_V1	canonical(PreAdmissionEnvelopeV1)
OUTBE_OCOMP_ACTIVATION_PRECONDITIONS_V1	canonical(ActivationPreconditionsV1)
OUTBE_OCOMP_INTENT_V1	canonical(JobIntentV1)
OUTBE_OCOMP_INTENT_SLOT_V1	IntentId
OUTBE_OCOMP_JOB_V1	IntentId||finalized_request_block_hash||finalized_request_state_root
OUTBE_OCOMP_INPUT_LEASE_V1	chain_id||genesis_hash||fork_id||wwd||protocol_bundle_hash||ce_sealed_root||sealed_tribute_collection_key||sealed_tribute_collection_root||authenticated_day_count||authenticated_day_nominal||source_availability_policy_id||source_generation||logical_evaluation_height||logical_evaluation_time
OUTBE_OCOMP_INPUT_CHUNK_V1	canonical(AuthenticatedInputChunkV1)
OUTBE_OCOMP_INPUT_MANIFEST_V1	canonical(InputManifestV1)
OUTBE_OCOMP_CODEC_DESCRIPTOR_V1	u16_be(role)||u16_be(version)||u32_be(descriptor_len)||canonical_schema_descriptor
OUTBE_OCOMP_OPENING_CODEC_REGISTRY_V1	u16_be(2)||u8(FIDELITY=1)||fidelity_opening_codec_id||u8(ORACLE=2)||oracle_opening_codec_id
OUTBE_OCOMP_PLAN_V1	canonical_nested(PlanCommitmentV1)
OUTBE_OCOMP_UNIT_V1	canonical(UnitSpecV1)
OUTBE_OCOMP_UNIT_INTERVAL_V1	phase||canonical_nested(interval)
OUTBE_OCOMP_UNIT_INPUTS_V1	u32_be(input_count)||canonical_nested(CanonicalInputRefV1)*
OUTBE_OCOMP_UNIT_EMPTY_V1	u8(purpose)
OUTBE_OCOMP_UNIT_OUTPUT_V1	protocol_bundle_hash||JobId||attempt||UnitId||phase||interval_commitment||len||bytes
OUTBE_OCOMP_UNIT_COVERAGE_V1	phase||interval_commitment||coverage_roots||coverage_counts
OUTBE_OCOMP_UNIT_ARTIFACT_V1	canonical(UnitArtifactV1)
OUTBE_OCOMP_SHUFFLE_SOURCE_COVERAGE_V1	u8(leaf_or_node)||canonical(run_span)||leaf(raw_coverage_root,raw_coverage_count)|node(left_root,left_count,right_root,right_count)
OUTBE_OCOMP_SHUFFLE_RUN_NODE_V1	canonical(kind,page_span,first_record_ordinal,record_count,left_ordered_record_root,right_ordered_record_root)
OUTBE_OCOMP_RESULT_CHUNK_V1	canonical(ResultChunkV1)
OUTBE_OCOMP_RESULT_V1	canonical(LysisResultV1)
OUTBE_OCOMP_RESULT_VOTE_SUBJECT_V1	chain_id||genesis_hash||fork_id||protocol_bundle_hash||JobId||attempt||result_validator_set_epoch||result_committee_set_hash||result_ocomp_binding_hash||ocomp_key_hash||key_epoch||u8(RESULT_SIGNATURE=1)||ResultDigest
OUTBE_OCOMP_QUORUM_EVIDENCE_V1	JobId||result_validator_set_epoch||result_committee_set_hash||result_ocomp_binding_hash||u16_be(member_count)||u16_be(quorum_threshold)||ResultDigest||quorum_height||signer_bitmap_lsb0||for_each_set_bit_in_validator_order(u16_be(validator_index)||first_ResultDigest||key_epoch||first_signature_rs||submitted_height)
OUTBE_OCOMP_VOTE_ACCOUNTABILITY_V1	canonical(OcompVoteAccountabilityV1)
OUTBE_OCOMP_LYSIS_TERMINAL_V1	canonical(LysisTerminalV1)
OUTBE_OCOMP_VALIDATOR_IDENTITY_V1	validator_address20||consensus_bls_min_pk_48
OUTBE_OCOMP_KEY_POP_V1	canonical_nested(OcompKeyRegistrationCoreV1)
OUTBE_OCOMP_SIGN_ONCE_SLOT_V1	chain_id||purpose||JobId||attempt
OUTBE_OCOMP_ACTIVATION_CALL_V1	canonical(ActivationCallCoreV1)
OUTBE_OCOMP_LYSIS_ARITHMETIC_V1	canonical(LysisArithmeticSummaryV1)
OUTBE_OCOMP_RESULT_EVIDENCE_V1	canonical(LysisResultV1)
OUTBE_OCOMP_TERMINAL_RECEIPT_V1	canonical(AggregateActivationReceiptV1)
OUTBE_OCOMP_NOD_RECEIPT_V1	canonical(NodBatchReceiptV1)
OUTBE_OCOMP_CONTRIBUTOR_RECEIPT_V1	canonical(ContributorReceiptV1)
OUTBE_OCOMP_TRIBUTE_RECEIPT_V1	canonical(TributeReceiptV1)
OUTBE_OCOMP_DESIS_REQUEST_BRIEF_V1	protocol_bundle_hash||wwd||auction_base||auction_entry_price||logical_anchor
OUTBE_OCOMP_BUDGET_SPLIT_RECEIPT_V1	canonical(RequestBudgetSplitReceiptV1)
OUTBE_OCOMP_CARRY_OVER_RECEIPT_V1	canonical(CarryOverReceiptV1)
OUTBE_OCOMP_ACTIVE_GENERATION_V1	canonical(ActiveGenerationV1)
OUTBE_OCOMP_JOB_RECORD_V1	canonical(OcompJobRecordV1)
OUTBE_OCOMP_STATE_EVENTS_V1	owner_kind||effect_binding||len||owner_projection
OUTBE_OCOMP_APPLY_EVENT_SUMMARY_V1	four_activation_owner_state_event_digests
OUTBE_OCOMP_EFFECTS_V1	four_activation_owner_receipt_hashes_or_empty
OUTBE_OCOMP_LIST_EMPTY_V1	list_kind
OUTBE_OCOMP_LIST_LEAF_V1	list_kind||index||len||item
OUTBE_OCOMP_LIST_PAD_V1	list_kind||missing_index
OUTBE_OCOMP_LIST_NODE_V1	list_kind||level||index||left||right
OUTBE_OCOMP_LIST_ROOT_V1	list_kind||real_count||tree_height||tree_root
